Title,Year,Director,Country,ASL
[Rec]3 G�nesis ,2012,"Plaza, Paco ",SPA ,4.22
"Infid?les, les ",2012,Various ,FRA ,4.22
Silver Linings Playbook ,2012,"Russell, David O. ",USA ,4.22
Saturn 3 ,1980,"Donen, Stanley ",BRI ,4.23
"Last Starfighter, The ",1984,"Castle, Nick ",USA ,4.23
Back to the Future II ,1989,"Zemeckis, Robert ",USA ,4.23
Teenage Mutant Ninja Turtles ,1990,"Barron, Steve ",HKO ,4.23
"Road to Wellville, The ",1994,"Parker, Alan ",USA ,4.23
Miranda ,2001,"Munden, Marc ",BRI ,4.23
"Hunted, The ",2003,"Friedkin, William ",USA ,4.23
Efter Brylluppet ,2006,"Bier, Susanne ",,4.23
Severance ,2006,"Smith, Christopher ",BRI ,4.23
"Ba?o del Papo, el ",2007,"Charlone, C. & Fernandez, E. ",URU ,4.23
Synechdoche: New York ,2008,"Kaufmann, Charlie ",USA ,4.23
"Devil's Double, The ",2011,"Tamahori, Lee ",,4.23
Some Girls Do ,1969,"Thomas, Ralph ",BRI ,4.24
Absolute Beginners ,1986,"Temple, Julien ",BRI ,4.24
"Dead Pool, The ",1988,"Van Horn, Buddy ",USA ,4.24
Warlock ,1989,"Miner, Steve ",USA ,4.24
Cutaway ,2000,"Manos, Guy ",USA ,4.24
Noel ,2004,"Palminteri, Chazz ",USA ,4.24
Trauma ,2004,"Evans, Marc ",BRI ,4.24
Silent Hill ,2006,"Gans, Christopher ",,4.24
All About Steve ,2009,"Traill, Phil ",USA ,4.24
Aces High ,1976,"Gold, Jack ",BRI ,4.25
Return From the River Kwai ,1988,"McLagen, Andrew V. ",,4.25
Young Guns ,1988,"Cain, Christopher ",USA ,4.25
K-9 ,1989,"Daniel, Rod ",USA ,4.25
Toys ,1992,"Levinson, Barry ",USA ,4.25
National Lampoon's Loaded Weapon 1 ,1993,"Quintano, Gene ",USA ,4.25
Gangs of New York ,2002,"Scorsese, Martin ",USA ,4.25
Tom & Thomas ,2002,"Lammers, Esm� ",,4.25
Daddy Day Care ,2003,"Carr, Steve ",USA ,4.25
"Prince & Me, The ",2004,"Coolidge, Martha ",,4.25
Tsotsi ,2005,"Hood, Gavin ",SAF ,4.25
Made of Honor ,2008,"Weiland, Paul ",USA ,4.25
You Instead ,2011,"MacKenzie, David ",BRI ,4.25
48 HRS. ,1982,"Hill, Walter ",USA ,4.26
Dead Men Don't Wear Plaid ,1982,"Reiner, Carl ",USA ,4.26
Predator ,1987,"McTiernan, John ",USA ,4.26
JFK ,1991,"Stone, Oliver ",USA ,4.26
Basic ,2003,"McTiernan, John ",,4.26
Love Actually ,2003,"Curtis, Richard ",,4.26
"Break-Up, The ",2006,"Reed, Peyton ",USA ,4.26
Fracture ,2007,"Hoblit, Gregory ",,4.26
"Disappeared, The ",2008,"Kevorkian, Johnny ",BRI ,4.26
Telstar: The Joe Meek Story ,2008,"Moran, Nick ",BRI ,4.26
Cemetery Junction ,2010,"Gervais, Ricky & Merchant, Steven ",USA ,4.26
Bombardier ,1943,"Wallace, Richard ",USA ,4.27
"Sorcerers, The ",1967,"Reeves, Michael ",BRI ,4.27
Battle Beyond the Stars ,1980,"Murakami, Jimmy T. ",USA ,4.27
Conan the Destroyer ,1984,"Fleischer, Richard ",USA ,4.27
Igby Goes Down ,2002,"Steers, Burr ",USA ,4.27
Wondrous Oblivion ,2003,"Morrison, Paul ",BRI ,4.27
"Aviator, The ",2004,"Scorsese, Martin ",,4.27
Hide and Seek ,2005,"Polson, John ",USA ,4.27
More Than Just a Game ,2007,"Ahmed, Junaid ",SAF ,4.27
"Linea, la ",2008,"Cotton, James ",,4.27
"Cup, The ",2011,"Wincer, Simon ",AUS ,4.27
Blown Away ,1994,"Hopkins, Stephen ",USA ,4.28
"Cowboy Way, The ",1994,"Champion, Gregg ",USA ,4.28
Murder in Mind ,1996,"Morahan, Andrew ",USA ,4.28
"Point Men, The ",2000,"Glen, John ",,4.28
11:14,2003,"Marcks, Greg ",USA ,4.28
Diamond Dogs ,2007,"Dotan, Shimon & Lundgren, Dolph ",,4.28
Mongol ,2007,"Bodrov, Sergei ",,4.28
Watchmen ,2009,"Snyder, Zach ",USA ,4.28
Indiana Jones and the Last Crusade ,1989,"Spielberg, Steven ",USA ,4.29
Alfie ,2004,"Shyer, Charles ",USA ,4.29
Alien Autopsy ,2006,"Campbell, Jonny ",BRI ,4.29
Marley & Me ,2008,"Frankel, David ",USA ,4.29
M�n som hatar kvinnor ,2009,"Oplev, Niels Arden ",,4.29
Now is Good ,2012,"Parker, Ol ",BRI ,4.29
Bride of Frankenstein ,1935,"Whale, James ",USA ,4.3
"Guns of Navarone, The ",1961,"Lee-Thompson, J. ",,4.3
"War Lover, The ",1962,"Leacock, Philip ",,4.3
"Professionals, The ",1966,"Brookes, Richard ",USA ,4.3
Awakening of the Beast ,1969,"Marins, Jos� Mojica ",BRA ,4.3
"Magic Christian, The ",1969,"McGrath, Joseph ",BRI ,4.3
"Bad News Bears Go to Japan, The ",1978,"Berry, John ",USA ,4.3
"Big Sleep, The ",1978,"Winner, Michael ",BRI ,4.3
Foxes ,1980,"Lyne, Adrian ",,4.3
Fast Times at Ridgemont High ,1982,"Heckerling, Amy ",USA ,4.3
"Right Stuff, The ",1983,"Kaufman, Philip ",USA ,4.3
Slayground ,1983,"Bedford, Terry ",BRI ,4.3
Muthal Mariyathal ,1985,Barathiraja ,IND ,4.3
House II: The Second Story ,1987,"Wiley, Ethan ",USA ,4.3
Lethal Weapon ,1987,"Donner, Richard ",USA ,4.3
Russkies ,1987,"Rosenthal, Rick ",USA ,4.3
Driving Force ,1988,"Prowse, Andrew ",AUS ,4.3
Limit Up ,1989,"Martini, Richard ",USA ,4.3
Going Under ,1990,"Travis, Mark ",USA ,4.3
Hard to Kill ,1990,"Malmuth, Bruce ",USA ,4.3
Career Opportunities ,1991,"Gordon, Bryan ",USA ,4.3
Star Trek VI: The Undiscovered Country ,1991,"Meyer, Nicholas ",USA ,4.3
Man Trouble ,1992,"Rafelson, Bob ",USA ,4.3
Josh and S.A.M. ,1993,"Weber, Billy ",USA ,4.3
Khalnayak ,1993,"Ghai, Subhash ",IND ,4.3
"Bill, The (Dealer Wins) ",1994,,BRI ,4.3
Dellamorte dellamore ,1994,"Soavi, Michele ",,4.3
Hostile Hostages ,1994,"Demme, Ted ",USA ,4.3
Tall Tale: The Legend of Pecos Bill ,1994,"Chechik, Jeremiah ",USA ,4.3
Big Foot: The Unforgettable Encounter ,1995,"Eubanks, Corey Michael ",USA ,4.3
Denise Calls Up ,1995,"Salwen, Hal ",USA ,4.3
Dr. Jekyll and Ms. Hyde ,1995,"Price, David F. ",USA ,4.3
Operation Dumbo Drop ,1995,"Wincer, Simon ",USA ,4.3
Species ,1995,"Donaldson, Roger ",USA ,4.3
Bob's Weekend ,1996,"O'Neill, Jevon ",BRI ,4.3
Mission: Impossible ,1996,"De Palma, Brian ",USA ,4.3
Muppet Treasure Island ,1996,"Henson, Brian ",USA ,4.3
Doom Runners ,1997,"Maher, Brendan ",USA ,4.3
"Full Monty, The ",1997,"Cattaneo, Peter ",,4.3
"Man in the Iron Mask, The ",1997,"Wallace, Randall ",USA ,4.3
"Slab Boys, The ",1997,"Byrne, John ",BRI ,4.3
Desperate Measures ,1998,"Schroeder, Barbet ",USA ,4.3
Tea With Mussolini ,1998,"Zeffirelli, Franco ",ITA ,4.3
Valentine's Day ,1998,"Clark, Duane ",CAN ,4.3
What Dreams May Come ,1998,"Ward, Vincent ",USA ,4.3
Circus ,1999,"Walker, Rob ",BRI ,4.3
Go ,1999,"Liman, Doug ",USA ,4.3
Office Space ,1999,"Judge, Mike ",USA ,4.3
To Walk With Lions ,1999,"Schultz, Carl ",,4.3
"Right Temptation, The ",2000,"Chubbuck, Lyndon ",USA ,4.3
"Count of Monte Cristo, The ",2001,"Reynolds, Kevin ",,4.3
Final Fantasy ,2001,Sakaguchi & Sakakibara ,,4.3
"Martins, The ",2001,"Grounds, Tony ",BRI ,4.3
Monsoon Wedding ,2001,"Nair, Mira ",,4.3
Dead Heat ,2002,"Malone, Mark ",CAN ,4.3
"Way of Life, A ",2004,"Asante, Amma ",BRI ,4.3
Me and You and Everyone Else We Know ,2005,"July, Miranda ",USA ,4.3
Must Love Dogs ,2005,"Goldberg, Gary David ",USA ,4.3
"Adjustment Bureau, The ",2010,"Nolfi, George ",USA ,4.3
Playing For Keeps ,2012,"Muccino, Gabriele ",USA ,4.3
Gold ,1974,"Hunt, Peter ",BRI ,4.31
Outrageous Fortune ,1987,"Hiller, Arthur ",USA ,4.31
Rosenkrantz and Guildenstern are Dead ,1990,"Stoppard, Tom ",,4.31
V.I. Warshawski ,1991,"Kanew, Jeff ",USA ,4.31
"Real McCoy, The ",1993,"Mulcahy, Russell ",USA ,4.31
Summer Catch ,2001,"Tollin, Mike ",USA ,4.31
"Greatest Game Ever Played, The ",2005,"Paxton, Bill ",USA ,4.31
Charlie & Boots ,2009,"Murphy, Dean ",AUS ,4.31
Live and Let Die ,1973,"Hamilton, Guy ",BRI ,4.32
"Name of the Rose, The ",1986,"Annaud, Jean-Jacques ",,4.32
"Kiss, The ",1988,"Densham, Pen ",CAN ,4.32
Renaissance Man ,1994,"Marshall, Penny ",USA ,4.32
Angus ,1995,"Johnson, Patrick Read ",USA ,4.32
Gladiatress ,2002,"Grant, Brian ",BRI ,4.32
"Walk to Remember, A ",2002,"Shankman, Adam ",USA ,4.32
Cellular ,2004,"Ellis, David E. ",USA ,4.32
Butterfly on a Wheel ,2007,"Barker, Mike ",,4.32
"Awakening, The ",2011,"Murphy, Nick ",BRI ,4.32
Warlords of Atlantis ,1978,"Connor, Kevin ",BRI ,4.33
"Lawnmower Man, The ",1992,"Leonard, Brett ",USA ,4.33
Parting Shots ,1998,"Winner, Michael ",BRI ,4.33
Door to Door ,2002,"Schachter, steven ",USA ,4.33
Little Manhattan ,2005,"Levin, Mark ",USA ,4.33
Amazing Grace ,2006,"Apted, Michael ",,4.33
Moli?re ,2006,"Tirard, Laurent ",FRA ,4.33
"Better Life, A ",2011,"Weitz, Chris ",USA ,4.33
Beneath the Planet of the Apes ,1969,"Post, Ted ",USA ,4.34
Havana ,1990,"Pollack, Sydney ",USA ,4.34
"League of Their Own, A ",1992,"Marshall, Penny ",USA ,4.34
Sister Act 2: Back in the Habit ,1993,"Duke, Bill ",USA ,4.34
Napoleon Dynamite ,2004,"Hess, Jared ",USA ,4.34
Antik�rper ,2005,"Alvart, Christian ",GER ,4.34
Awake ,2007,"Harold, Joby ",USA ,4.34
My Spy ,2008,"Gallo, George ",,4.34
I Don't Know How She Does It ,2011,"McGrath, douglas ",USA ,4.34
"Liability, The ",2012,"Viveiros, Craig ",BRI ,4.34
Orphans of the Storm ,1921,"Griffith, D.W. ",USA ,4.35
"Machinist, The ",2003,"Anderson, Brad ",SPA ,4.35
"Perfect Catch, The ",2005,"Farrelly, Bobby & Peter ",,4.35
Edge of Darkness ,2009,"Campbell, Martin ",,4.35
Nuns on the Run ,1990,"Lynn, Jonathan ",BRI ,4.36
Slackers ,2001,"Nicks, Dewey ",USA ,4.36
Miss Potter ,2006,"Noonan, Chris ",,4.36
Hero Wanted ,2008,"Smrz, Brian ",USA ,4.36
Act of God ,2009,"Faughnan, Sean ",BRI ,4.36
Taras Bulba ,1962,"Lee-Thompson, J. ",USA ,4.37
"Recruit, The ",2002,"Donaldson, Roger ",USA ,4.37
"Ice Harvest, The ",2005,"Ramis, Harold ",USA ,4.37
"Ringer, The ",2005,"Blaustein, Barry W. ",USA ,4.37
"Assassination Bureau, The ",1969,"Dearden, Basil ",BRI ,4.38
Who's Harry Crumb? ,1989,"Flaherty, Paul ",USA ,4.38
"Rookie, The ",1990,"Eastwood, Clint ",USA ,4.38
Italian for Beginners ,2000,"Scherfig, Lone ",DEN ,4.38
Haute tension ,2003,"Aja, Alexandre ",FRA ,4.38
Anchorman: The Legend of Ron Burgundy ,2004,"McKay, Adam ",USA ,4.38
Kidulthood ,2005,"Huda, Menaj ",BRI ,4.38
When Dinosaurs Ruled the World ,1969,"Guest, Val ",BRI ,4.39
Caravan to Vaccares ,1974,"Reeve, Geoffrey ",,4.39
Simpatico ,1999,"Warchus, Mathew ",FRA ,4.39
One Hour Photo ,2001,"Romanek, Mark ",USA ,4.39
Toolbox Murders ,2003,"Hooper, Tobe ",USA ,4.39
36 Quai des Orf?vres ,2004,"Marchal, Olivier ",FRA ,4.39
Bad News Bears ,2005,"Linklater, Richard ",USA ,4.39
Notes on a Scandal ,2006,"Eyre, Richard ",BRI ,4.39
Starter for 10 ,2006,"Vaughan, Tom ",USA ,4.39
Dog Pound ,2009,"Chapiron, Kim ",,4.39
New Moon ,2009,"Weitz, Chris ",USA ,4.39
Harry Potter and the Deathly Hallows Part2 ,2011,"Yates, David ",USA ,4.39
"Iron Lady, The ",2011,"Lloyd, Phyllida ",,4.39
Spare a Copper ,1940,"Carstairs, John Paddy ",BRI ,4.4
Thunderhead - Son of Flicka ,1945,"King, Louis ",USA ,4.4
"Gnome-Mobile, The ",1967,"Stevenson, Robert ",USA ,4.4
Digby: The Biggest Dog in the World ,1973,"McGrath, Joseph ",BRI ,4.4
"Wilby Conspiracy, The ",1975,"Nelson, Ralph ",,4.4
"Prisoner of Zenda, The ",1979,"Quine, Richard ",USA ,4.4
Chain Reaction ,1980,"Barry, Ian ",AUS ,4.4
Caveman ,1981,"Gottlieb, Carl ",,4.4
Raiders of the Lost Ark ,1981,"Spielberg, Steven ",USA ,4.4
Missing in Action ,1984,"Zito, Joseph ",USA ,4.4
Roadhouse 66 ,1984,"Robinson, John Mark ",USA ,4.4
Friday the 13th Part VI: Jason Lives ,1986,"McLoughlin, Tom ",USA ,4.4
Link ,1986,"Franklin, Richard ",,4.4
Night of the Creeps ,1986,"Dekker, Fred ",USA ,4.4
Solarbabies ,1986,"Johnson, Alan ",USA ,4.4
Ernest Goes to Camp ,1987,"Cherry, John F. ",USA ,4.4
Nightmare on Elm Street 3: Dream Warriors ,1987,"Russell, Chuck ",USA ,4.4
Death Warrant ,1990,"Sarafian, Deran ",,4.4
Dick Tracy ,1990,"Beatty, Warren ",USA ,4.4
Another You ,1991,"Phillips, Maurice ",USA ,4.4
Adventures in Dinosaur City ,1992,"Thompson, Brett ",USA ,4.4
800 Leagues Down the Amazon ,1993,"Llosa, Luis ",,4.4
Cool Runnings ,1993,"Turtletaub, Jon ",USA ,4.4
"Good Cop, Bad Cop ",1993,"Prior, David A. ",USA ,4.4
Judgement Night ,1993,"Hopkins, Stephen ",USA ,4.4
Necronomicon (Pt.2) ,1993,"Kaneko, Shu ",USA ,4.4
Black Beauty ,1994,"Thompson, Caroline ",,4.4
Ace Ventura: When Nature Calls ,1995,"Oedekerk, Steve ",USA ,4.4
Hackers ,1995,"Softley, Iain ",USA ,4.4
"Little Princess, A ",1995,"Cuaron, Alfonso ",USA ,4.4
Midnight in St. Petersburg ,1995,"Jackson, Doug ",,4.4
Slam Dunk Ernest ,1995,"Cherry, John ",USA ,4.4
Theodore Rex ,1995,"Betuel, Jonathon ",USA ,4.4
Alaska ,1996,"Heston, Fraser C. ",USA ,4.4
"Associate, The ",1996,"Petrie, Donald ",USA ,4.4
"Crucible, The ",1996,"Hytner, Nicholas ",USA ,4.4
Darklands ,1996,"Richards, Julian ",BRI ,4.4
Dogmatic ,1996,"Fearnley, Neill ",CAN ,4.4
Star Trek: First Contact ,1996,"Frakes, Jonathan ",USA ,4.4
Sudden Terror: The Hijacking of School Bus ,1996,"Schneider, Paul ",USA ,4.4
Tiger Heart ,1996,"Chamchoum, Georges ",USA ,4.4
Cube ,1997,"Natali, Vincenzo ",CAN ,4.4
"Devil's Own, The ",1997,"Pakula, Alan J. ",USA ,4.4
Kiss or Kill ,1997,"Bennett, Bill ",AUS ,4.4
Perdita Durango ,1997,"Iglesia, Alex del la ",,4.4
"Postman, The ",1997,"Costner, Kevin ",USA ,4.4
Star Maps ,1997,"Arteta, Miguel ",USA ,4.4
Barney's Great Adventure ,1998,"Gomer, Steve ",USA ,4.4
"Black Cat, White Cat ",1998,"Kusturica, Emir ",,4.4
Darkness Falls ,1998,"Lively, Gerry ",,4.4
"Diner des cons, le ",1998,"Veber, Francis ",FRA ,4.4
Forbidden Sins ,1998,"Angelo, Robert ",USA ,4.4
Mercury Rising ,1998,"Becker, Harold ",USA ,4.4
Phantoms ,1998,"Chappelle, Joe ",USA ,4.4
Small Soldiers ,1998,"Dante, Joe ",USA ,4.4
Talk of Angels ,1998,"Hamm, Nick ",USA ,4.4
Eternal Revenge ,1999,"Grenier, Marc S. ",,4.4
Ever After: A Cinderella Story ,1999,"Tennant, Andy ",USA ,4.4
Music of the Heart ,1999,"Craven, Wes ",USA ,4.4
Soccer Dog: the Movie ,1999,"Giglio, Tony ",USA ,4.4
Stonebrook ,1999,"Thompson, Byron W. ",USA ,4.4
Down to You ,2000,"Isacsson, Kris ",USA ,4.4
"Everlasting Piece, An ",2000,"Levinson, Barry ",USA ,4.4
"Shrink is In, The ",2000,"Benjamin, Richard ",USA ,4.4
Space Cowboys ,2000,"Eastwood, Clint ",USA ,4.4
Whispers: An Elephant's Tale ,2000,"Joubert, Dereck ",USA ,4.4
Chippendales: Just Can't Get Enough ,2001,"Payne, David ",USA ,4.4
I am Sam ,2001,"Nelson, Jessie ",,4.4
"Princess Diaries, The ",2001,"Marshall, Garry ",USA ,4.4
Rock Star ,2001,"Herek, Stephen ",USA ,4.4
"Stickup, The ",2001,"Herrington, Rowdy ",USA ,4.4
Evelyn ,2002,"Beresford, Bruce ",,4.4
"Ring, The ",2002,"Verbinski, Gore ",USA ,4.4
Blizzard ,2003,"Burton, LeVar ",CAN ,4.4
Bright Young Things ,2003,"Fry, Stephen ",BRI ,4.4
Godsend ,2003,"Hamm, Nick ",,4.4
Brick ,2005,"Johnson, Rian ",USA ,4.4
"League of Gentelmen's Apocalypse, The ",2005,"Bendelack, Steve ",BRI ,4.4
P.S. I Love You ,2007,"LaGravense, Richard ",USA ,4.4
Tu�sday ,2008,"Bennett, Sacha ",BRI ,4.4
Letters to Juliet ,2010,"Winick, Gary ",USA ,4.4
Disconnect ,2012,"Rubin, Henry Alex ",USA ,4.4
Darby O'Gill and the Little People ,1959,"Stevenson, Robert ",USA ,4.41
"Love Bug, The ",1969,"Stevenson, Robert ",USA ,4.41
"Taking of Pelham One Two Three, The ",1974,"Sargent, Joseph ",USA ,4.41
Rocky III ,1982,"Stallone, Sylvester ",USA ,4.41
Midnight Run ,1988,"Brest, Martin ",USA ,4.41
"Last of the Mohicans, The ",1992,"Mann, Michael ",USA ,4.41
Indecent Proposal ,1993,"Lyne, Adrian ",USA ,4.41
S1m�ne ,2002,"Niccol, Andrew ",USA ,4.41
Cold Mountain ,2003,"Minghella, Anthony ",USA ,4.41
Open Range ,2003,"Costner, Kevin ",USA ,4.41
Police Academy 4: Citizens on Patrol ,1987,"Drake, Jim ",USA ,4.42
Point Break ,1991,"Bigelow, Kathryn ",USA ,4.42
Christopher Columbus: The Discovery ,1992,"Glen, John ",,4.42
25th. Hour ,2002,"Lee, Spike ",USA ,4.42
Shall We Dance ,2004,"Chelsom, Peter ",USA ,4.42
"Guardian, The ",2006,"Davis, Andrew ",USA ,4.42
"Last King of Scotland, The ",2006,"MacDonald, Kevin ",,4.42
My Sister's Keeper ,2009,"Cassavetes, Nick ",USA ,4.42
"Scouting Book for Boys, The ",2009,"Harper, Tom ",BRI ,4.42
"Plainsman, The ",1966,"Rich, David Lowell ",USA ,4.43
Blind Fury ,1990,"Noyce, Phillip ",USA ,4.43
Framed ,2002,"Petrie, Jr., Daniel ",USA ,4.43
"Day After Tomorrow, The ",2004,"Emmerich, Roland ",USA ,4.43
In Good Company ,2004,"Weitz, Paul ",USA ,4.43
Lemony Snicket's A Series of Unfortunate Events ,2004,"Silberling, Brad ",USA ,4.43
Be Kind Rewind ,2007,"Gondry, Michel ",USA ,4.43
Into the Night ,1985,"Landis, John ",USA ,4.44
Gunmen ,1994,"Sarafian, Deran ",USA ,4.44
Relative Values ,2000,"Styles, Eric ",BRI ,4.44
"Divorce, le ",2003,"Ivory, James ",,4.44
Exiled ,2006,"To, Johnnie ",CHI ,4.44
Choke ,2008,"Gregg, Clark ",USA ,4.44
Sightseers ,2012,"Wheatley, Ben ",BRI ,4.44
"Stitch in Time, A ",1963,"Asher, Robert ",BRI ,4.45
One Million Years B.C. ,1966,"Chaffey, Don ",BRI ,4.45
Red Sonja ,1985,"Fleischer, Richard ",,4.45
"Jaws, the Revenge ",1987,"Sergeant, Joseph ",USA ,4.45
Police Academy 6: City Under Siege ,1989,"Bonerz, Peter ",USA ,4.45
Ali ,2001,"Mann, Michael ",USA ,4.45
Bridget Jones: The Edge of Reason ,2004,"Kidron, Beeban ",BRI ,4.45
Downfall ,2004,"Hirschbiegel, Oliver ",GER ,4.45
Constantine ,2005,"Lawrence, Francis ",,4.45
Action in the North Atlantic ,1943,"Bacon, Lloyd ",USA ,4.46
Target ,1985,"Penn, Arthur ",USA ,4.46
Angel Heart ,1987,"Parker, Alan ",USA ,4.46
Another Stakeout ,1993,"Badham, John ",USA ,4.46
Iron Will ,1994,"Haid, Charles ",USA ,4.46
"Kids are All Right, The ",2010,"Cholodenko, Lisa ",USA ,4.46
Battle for the Planet of the Apes ,1973,"Lee-Thompson, J. ",USA ,4.47
Midnight Express ,1978,"Parker, Alan ",,4.47
Die Hard ,1988,"McTiernan, John ",USA ,4.47
Tapeheads ,1988,"Fishman, Bill ",USA ,4.47
"Mask, The ",1994,"Russell, Charles ",USA ,4.47
Creep ,2004,"Harris, Sean ",BRI ,4.47
Fathom ,1967,"Martinson, Leslie H. ",BRI ,4.48
Weird Science ,1985,"Hughes, John ",USA ,4.48
Beetle Juice ,1988,"Burton, Tim ",USA ,4.48
"Distinguished Gentleman, The ",1992,"Lynn, Jonathan ",USA ,4.48
Deathwatch ,2002,"Bassett, Michael J. ",,4.48
Under the Tuscan Sun ,2003,"Wells, Audrey ",USA ,4.48
Keeping Mum ,2005,"Johnson, Niall ",BRI ,4.48
Jindabyne ,2006,"Lawrence, Ray ",AUS ,4.48
Post Grad ,2009,"Jenson, Vicky ",USA ,4.48
Major Dundee ,1965,"Peckinpah, Sam ",USA ,4.49
"Great Northfield Minnesota Raid, The ",1972,"Kaufman, Philip ",USA ,4.49
"White Hunter, Black Heart ",1990,"Eastwood, Clint ",USA ,4.49
Phone Booth ,2002,"Schumacher, Joel ",USA ,4.49
"Clearing, The ",2004,"Brugge, Pieter Jan ",USA ,4.49
Skin ,2008,"Fabian, Anthony ",SAF ,4.49
Beastly ,2010,"Barnz, Daniel ",USA ,4.49
"Narrow Trail, The ",1917,"Hillyer, Lambert ",USA ,4.5
"Girl in the Taxi, The ",1922,"Ingraham, Lloyd ",USA ,4.5
"Gamin de Paris, Le ",1923,"Feuillade, Louis ",FRA ,4.5
Kean (ou D�sordre et g�nie) ,1923,"Volkoff, Alexandre ",FRA ,4.5
Captain Blood ,1924,"Smith, David ",USA ,4.5
Mantrap ,1926,"Fleming, Victor ",USA ,4.5
"New Klondike, The ",1926,"Milestone, Lewis ",USA ,4.5
"Son of the Sheik, The ",1926,"Fitzmaurice, George ",USA ,4.5
S.V.D. ,1927,Kozintsev & Trauberg ,RUS ,4.5
Lyodolom ,1931,"Barnet, Boris ",RUS ,4.5
Vesyolye Rebyata ,1933,"Alexandrov, Grigori ",RUS ,4.5
"Man Who Changed His Mind, The ",1936,"Stevenson, Robert ",BRI ,4.5
Gypsy Wild Cat ,1944,"Neil, Roy W. ",USA ,4.5
"Battle of San Pietro, The ",1945,"Huston, John ",USA ,4.5
Tarzan's Magic Fountain ,1949,"Sholem, Lee ",USA ,4.5
"Seventh Voyage of Sinbad, The ",1958,"Juran, Nathan ",USA ,4.5
Tarzan the Magnificent ,1960,"Day, R. ",USA ,4.5
Kingukongu tai Gojirai ,1962,"Honda, Inoshiro ",JAP ,4.5
Children of the Damned ,1963,"Leader, A.M. ",BRI ,4.5
"Scalphunters, The ",1968,"Pollack, Sydney ",USA ,4.5
Three in the Attic ,1968,"Wilson, Richard ",USA ,4.5
Spring and Port Wine ,1969,"Hammond, P. ",BRI ,4.5
Godzilla vs. Gigan ,1972,"Fukuda, Jun ",JAP ,4.5
"Man with the Golden Gun, The ",1974,"Hamilton, Guy ",BRI ,4.5
"Moutarde me monte au nez, la ",1974,"Zidi, Claude ",FRA ,4.5
Silver Streak ,1976,"Hiller, Arthur ",USA ,4.5
"Choirboys, The ",1977,"Aldrich, Robert ",USA ,4.5
King Kong Lives! ,1986,"Guillermin, John ",,4.5
"Chorus of Disapproval, A ",1988,"Winner, Michael ",BRI ,4.5
Halloween 5: The Revenge of Michael Myers ,1989,"Othening-Gerard, Dominiqu ",USA ,4.5
Deep Cover ,1992,"Duke, Bill ",USA ,4.5
Pure Country ,1992,"Cain, Christopher ",USA ,4.5
Baazigar ,1993,Abbas-Mustan ,IND ,4.5
Taking the Heat ,1993,"Mankiewicz, Tom ",USA ,4.5
Andre ,1994,"Miller, George ",USA ,4.5
North ,1994,"Reiner, Rob ",USA ,4.5
"Puppet Masters, The ",1994,"Orme, Stuart ",USA ,4.5
"Return of the Texas Chainsaw Massacre, the ",1994,"Henkel, Kim ",USA ,4.5
To Live and Die in Tshimshatsui ,1994,"Lau, Wai Keung ",HKO ,4.5
Billy Madison ,1995,"Davis, Tamra ",,4.5
Born to be Wild ,1995,"Gray, John ",USA ,4.5
"Brady Bunch Movie, The ",1995,"Thomas, Betty ",USA ,4.5
Crying Freeman ,1995,"Gans, Christopher ",USA ,4.5
IQ ,1995,"Schepisi, Fred ",USA ,4.5
Malicious ,1995,"Corson, Ian ",USA ,4.5
"Sailor's Tattoo, A ",1995,"Fleming, Erik ",USA ,4.5
Seven ,1995,"Fincher, David ",USA ,4.5
Three Steps to Heaven ,1995,"Giannaris, Constantine ",BRI ,4.5
Big Bully ,1996,"Miner, Steve ",USA ,4.5
Blood and Wine ,1996,"Rafelson, Bob ",,4.5
Cosi ,1996,"Joffe, Mark ",AUS ,4.5
Extreme Measures ,1996,"Apted, Michael ",,4.5
Looking For Trouble ,1996,"Aubrey, Jay ",USA ,4.5
Sleepers ,1996,"Levinson, Barry ",USA ,4.5
Tremors II: Aftershocks ,1996,"Wilson, S.S. ",USA ,4.5
Grosse Pointe Blank ,1997,"Armitage, George ",USA ,4.5
Incognito ,1997,"Badham, John ",USA ,4.5
Men of Means ,1997,"Mendeluk, George ",CAN ,4.5
U'bejani ,1997,"Crawford, Wayne ",SAF ,4.5
Babe: Pig in the City ,1998,"Miller, George ",,4.5
Inside Out ,1998,"Sundstr�m, Neal ",SAF ,4.5
Slums of Beverly Hills ,1998,"Jenkins, Tamara ",USA ,4.5
Urban Ghost Story ,1998,"Joliffe, Genevieve ",BRI ,4.5
"Vivero Letter, The ",1998,"Boos, H. Gordon ",USA ,4.5
Beautiful People ,1999,"Dizdar, Jasmin ",BRI ,4.5
Daag ,1999,"Kanwar, Raj ",IND ,4.5
"Enfant du marais, les ",1999,"Becker, Jean ",FRA ,4.5
Life ,1999,"Demme, Ted ",USA ,4.5
Muppets from Space ,1999,"Hill, Tim ",,4.5
Outside Providence ,1999,"Corrente, Michael ",USA ,4.5
Random Hearts ,1999,"Pollack, Sydney ",USA ,4.5
Strange Planet ,1999,"Croghan, Emma-Kate ",AUS ,4.5
True Crime ,1999,"Eastwood, Clint ",USA ,4.5
All the Pretty Horses ,2000,"Thornton, Billy Bob ",USA ,4.5
Bedazzled ,2000,"Ramis, Harold ",USA ,4.5
Enemy at the Gates ,2000,"Annaud, Jean-Jacques ",,4.5
